temperature,pressure,altitude,Gyro X,Gyro Y,Gyro Z,Acc X,Acc Y,Acc Z,takepicture,time
24,99685,137.44,-11,-4,6,48,199,37,1,885
24,99667,138.96,34,-92,287,195,221,33,0,3044
24,99679,137.95,4,-3,10,238,186,23,1,5259
24,99673,138.46,-30,-29,1,243,194,49,0,7450
24,99673,138.46,17,-11,5,3,193,45,1,9677
24,99670,138.71,-22,1,37,223,199,38,0,11878
24,99679,137.95,1,14,-12,240,193,49,1,14116
24,99673,138.46,10,26,13,245,211,48,1,16320
24,99685,137.44,-4,-5,9,236,201,46,1,18555
24,99661,139.47,-62,-69,-5,239,180,55,0,20757
24,99682,137.70,6,20,-33,246,214,49,0,23007
24,99676,138.20,-3,15,14,242,209,59,1,25213
24,99685,137.44,-1,21,21,218,192,72,1,27453
24,99688,137.19,31,0,-39,243,213,45,0,29658
24,99679,137.95,7,22,4,232,194,39,1,31892
24,99688,137.19,-30,-45,-7,239,197,45,0,-31441
24,99685,137.44,6,15,35,204,195,38,0,-29201
24,99682,137.70,-25,-16,0,218,198,37,1,-26998
24,99673,138.46,-9,2,0,222,198,39,1,-24752
24,99679,137.95,-4,5,2,227,200,46,1,-22549
24,99667,138.96,0,0,-4,223,200,42,1,-20299
24,99676,138.20,-2,0,1,224,199,42,1,-18093
24,99679,137.95,0,1,0,219,199,42,1,-15822
24,99685,137.44,-8,7,8,226,197,43,1,-13626
24,99679,137.95,-4,-1,14,223,198,53,1,-11394
24,99685,137.44,10,25,-3,232,193,35,1,-9190
24,99679,137.95,-7,0,-3,236,189,46,1,-6959
24,99679,137.95,-55,-17,0,230,193,47,0,-4756
24,99685,137.44,-55,-6,0,240,193,48,0,-2522
24,99682,137.70,-11,-5,1,243,191,42,1,-319
23,99683,137.61,-97,10,73,238,193,40,0,1931
23,99683,137.61,-25,15,32,250,208,59,0,4136
23,99686,137.36,-44,46,106,255,222,62,0,6372
23,99668,138.88,-27,-27,62,255,231,70,0,8582
23,99674,138.37,-23,-1,70,0,229,66,0,10817
23,99680,137.86,0,0,-4,28,244,57,1,13022
22,99671,138.62,0,-13,16,9,249,64,1,15260
22,99677,138.12,-7,-4,0,0,241,66,1,17463
22,99683,137.61,0,0,0,0,240,66,1,19700
22,99669,138.79,0,0,0,1,239,66,1,21904
22,99675,138.29,0,0,0,0,240,67,1,24146
21,99675,138.29,0,0,0,0,241,67,1,26344
21,99660,139.55,0,0,0,1,241,68,1,28563
21,99666,139.04,0,0,0,0,241,67,1,30760
21,99672,138.54,0,0,0,255,239,66,1,-32590
21,99675,138.29,0,0,0,1,242,66,1,-30386
21,99663,139.30,0,0,0,0,241,67,1,-28200
21,99678,138.03,0,0,0,1,241,67,1,-26014
21,99658,139.72,0,0,0,0,242,67,1,-23771
21,99681,137.78,0,0,0,255,241,66,1,-21580
21,99672,138.54,0,0,0,1,240,67,1,-19394
20,99678,138.03,0,0,0,0,241,66,1,-17243
20,99667,138.96,0,0,0,0,240,67,1,-15057
20,99681,137.78,0,0,0,0,241,67,1,-12855
20,99655,139.97,0,0,0,0,241,67,1,-10666
20,99667,138.96,0,0,0,0,241,67,1,-8447
20,99661,139.47,0,0,0,2,240,67,1,-6248
20,99676,138.20,0,0,0,255,241,66,1,-4021
20,99667,138.96,0,0,0,0,240,67,1,-1811
20,99661,139.47,0,0,0,0,239,68,1,421
20,99664,139.21,0,0,0,2,241,68,1,2618
20,99667,138.96,0,0,0,1,241,68,1,4853
20,99664,139.21,0,0,0,2,241,67,1,7051
20,99664,139.21,0,0,0,1,241,67,1,9263
20,99667,138.96,0,0,0,0,241,66,1,11462
20,99673,138.46,0,0,0,1,241,67,1,13651
20,99658,139.72,0,0,0,0,241,67,1,15851
20,99667,138.96,0,0,0,1,241,67,1,18041
20,99676,138.20,0,0,0,1,241,68,1,20228
20,99676,138.20,0,0,0,1,241,68,1,22413
19,99673,138.46,0,0,0,1,241,68,1,24579
19,99685,137.44,0,0,0,1,241,66,1,26769
19,99656,139.89,0,0,0,0,239,67,1,28940
19,99664,139.21,0,0,0,1,240,67,1,31126
19,99676,138.20,0,0,0,2,241,67,1,-32157
19,99653,140.14,0,0,0,0,241,67,1,-29971
19,99665,139.13,0,0,0,1,240,66,1,-27752
19,99670,138.71,0,0,0,1,239,66,1,-25549
19,99665,139.13,0,0,0,0,242,66,1,-23316
19,99671,138.62,0,0,0,0,241,67,1,-21106
19,99677,138.12,0,0,0,0,240,68,1,-18870
19,99679,137.95,0,0,0,1,241,67,1,-16655
19,99677,138.12,0,0,0,1,240,67,1,-14426
19,99656,139.89,0,0,0,0,240,67,1,-12211
19,99659,139.64,0,0,0,0,241,67,1,-9976
19,99656,139.89,0,0,0,0,240,68,1,-7764
18,99662,139.38,0,0,0,1,241,67,1,-5529
18,99665,139.13,0,0,0,0,242,67,1,-3320
18,99671,138.62,0,0,0,1,239,67,1,-1088
18,99662,139.38,0,0,0,0,240,68,1,1121
18,99668,138.88,0,0,0,1,241,66,1,3353
18,99677,138.12,0,0,0,1,240,68,1,5560
18,99674,138.37,0,0,0,0,240,65,1,7800
18,99662,139.38,0,0,0,1,240,67,1,10012
18,99674,138.37,0,0,0,0,241,67,1,12251
18,99674,138.37,0,0,0,1,241,66,1,14459
18,99677,138.12,0,0,0,0,242,66,1,16706
18,99671,138.62,0,0,0,1,241,67,1,18912
18,99666,139.04,0,0,0,1,241,66,1,21147
18,99671,138.62,0,0,0,1,241,68,1,23356
18,99666,139.04,0,0,0,0,239,68,1,25625
17,99669,138.79,0,0,0,1,241,67,1,27826
17,99675,138.29,0,2,0,2,241,68,1,30058
17,99678,138.03,0,0,0,1,240,68,1,32269
17,99666,139.04,0,0,0,0,239,67,1,-31038
17,99663,139.30,0,0,2,0,241,68,1,-28827
17,99669,138.79,0,0,0,1,240,67,1,-26595
17,99678,138.03,0,0,0,2,241,67,1,-24385
17,99669,138.79,0,0,0,0,241,67,1,-22149
17,99663,139.30,0,0,0,1,240,66,1,-19930
17,99669,138.79,0,0,0,2,242,68,1,-17698
17,99663,139.30,0,0,0,2,241,68,1,-15490
17,99672,138.54,0,0,0,0,241,68,1,-13253
17,99663,139.30,0,0,0,0,240,66,1,-11044
